actor,home,household,place,energy,water,sleep_pressure,fatigue,damage,leisure,social,deficit,desire,money,food,violations,failures,critical_seconds,phase,method
1,116,1,2,0.508512228674,0.435989345471,0.10554755665,0,0,0.327594089202,0.601956064353,0.0721018152451,0.254650653776,177.282482639,0,0,4,0,2,talk
2,117,1,117,0.495787298213,0.267043146596,0.215337869101,0,0,0.476395951735,0.543658586891,0.172214259587,0.116268093144,222.593755208,0,0,2,0,4,sleep
3,118,3,118,0.513202168689,0.578443900254,0.155660827662,0,0,0.416270478446,0.661413061145,0.701124738486,0.377125546001,222.292248958,0,0,6,0,4,sleep
4,119,3,1,0.504495813738,0.483655591688,0.357829004695,0.000230734188336,0,0.439436386872,0.527536561947,0.177176385754,0.399741976224,202.693413542,0,0,6,0,1,private_intimacy
5,120,5,6,0.233015295507,0.466845807315,0.217858228011,0.000420156690822,0,0.143862762465,0.329094668336,0.296934882809,0.21880915379,206.065745833,0,0,67,0,5,talk
6,121,5,121,0.376792999592,0.343841161548,0.13020373733,0,0,0.234309060287,0.501858667685,0.330441561781,0.187614155936,277.402557292,0,0,2,0,4,sleep
7,122,7,122,0.59824801556,0.554834237871,0.618618950577,0,0,0.380734540537,0.483446508771,0.182189526524,0.199140165315,78.9224357639,0,0,20,0,4,sleep
8,123,7,123,0.464532442266,0.660758445577,0.308724230164,0,0,0.532017171202,0.685777105943,0.249357735473,0.197520903401,159.021401042,0,0,4,0,2,private_intimacy
9,124,9,124,0.254756077279,0.440789869007,0.133148283859,0,0,0.0700048050984,0.440782892811,0.375240940803,0.315605747855,123.11463125,0,0,26,0,4,sleep
10,125,9,2,0.626119169123,0.46289128091,0.253676093578,0,0,0.56231215942,0.664091854361,0.616798657039,0.104287627749,143.7165,0,0,23,0,2,talk
11,126,11,2,0.538142197949,0.459580119393,0.408462467778,0,0,0.658131969671,0.608647062958,0.0549127359521,0.135706931834,123.055251042,0,0,19,0,2,leisure
12,127,12,127,0.492228880895,0.750161719244,0.40886331882,0,0,0.573840028517,0.462976606527,0.101913767575,0.0569909920436,139.055670833,0,0,22,0,4,sleep
13,128,13,128,0.5285326695,0.422405087988,0.39666386616,0,0,0.220673591754,0.221420335359,0.542712382326,0.512270800261,177.027126389,0,0,27,0,2,private_intimacy
14,129,13,129,0.449197688573,0.38810282747,0.428473921448,0,0,0.088104903917,0.267502075982,0.500013396006,0.277892225426,174.466062153,0,0,62,0,4,sleep
15,130,15,2,0.33364484013,0.543167306582,0.592035196823,0,0,0.444126341192,0.439143831945,0.225544004355,0.10580077133,141.700573264,0,0,74,0,2,leisure
16,131,16,131,0.350238330655,0.263228196854,0.270657704107,0,0,0,0.184467895078,0.485126693025,0.35756804207,140.906196181,0,0,155,0,4,sleep
