id,energy,water,sleep,fatigue,leisure,social,desire,place,action,money,food
0,0.529633,0.554911,0.105499,0,0.438215,0.63643,0.224285,2,play,4,0
1,0.442911,0.463594,0.114698,0,0.401462,0.574539,0.147267,5,sleep,4,0
2,0.631822,0.641099,0.220702,0,0.626605,0.74456,0.163315,2,play,4,0
3,0.493784,0.510023,0.418929,0,0.703974,0.635711,0.29196,2,play,4,0
4,0.488315,0.635327,0.451055,0,0.627576,0.665716,0.0612154,7,sleep,4,0
5,0.543354,0.688438,0.232643,0,0.651761,0.543585,0.140778,2,play,3,0
6,0.70551,0.738952,0.488172,0,0.609285,0.760949,0.217963,2,play,3,0
7,0.532578,0.605173,0.37234,0,0.761344,0.709724,0.281445,2,talk,4,0
8,0.502242,0.668481,0.312222,0,0.595266,0.650647,0.0357609,9,play,4,0
9,0.474949,0.378416,0.472249,0,0.214093,0.501877,0.193897,9,sleep,2,0
10,0.620675,0.539664,0.315327,0,0.594427,0.7015,0.039029,2,talk,3,0
11,0.468946,0.541389,0.223208,0,0.737414,0.582915,0.22253,10,wait,5,0
12,0.656166,0.48529,0.21328,0,0.717286,0.659394,0.203267,4,play,4,0
13,0.65217,0.598839,0.243063,0,0.739407,0.723532,0.231372,2,wait,4,0
14,0.651889,0.656976,0.314398,0,0.602786,0.706004,0.221031,12,private_relief,4,0
15,0.567411,0.681075,0.214218,0,0.637766,0.725115,0.0345564,2,talk,3,0
16,0.49161,0.708286,0.303409,0,0.70975,0.732948,0.237309,2,wait,3,0
17,0.577917,0.717946,0.294677,0,0.583825,0.721492,0.020623,13,play,4,0
18,0.736512,0.696126,0.238854,0,0.525886,0.697514,0.0882959,4,play,5,0
19,0.567004,0.57863,0.223877,0,0.709426,0.652454,0.320209,2,play,3,0
20,0.380592,0.555967,0.363855,0,0.654546,0.795154,0.151792,1,eat,3,1
21,0.62872,0.535935,0.399618,0,0.719296,0.750707,0.235054,2,wait,4,0
22,0.642576,0.628128,0.345985,0,0.693142,0.713346,0.263954,2,play,3,0
23,0.444683,0.619004,0.343225,0,0.658492,0.651632,0.259868,16,sleep,3,0
24,0.570824,0.556709,0.353691,0,0.603602,0.696173,0.137021,17,sleep,3,0
25,0.508061,0.581353,0.28075,0,0.665712,0.762796,0.120089,2,talk,3,0
26,0.506584,0.623608,0.32563,0,0.700479,0.606805,0.273749,2,talk,4,0
27,0.772931,0.518302,0.412335,0,0.708019,0.702927,0.224591,18,private_relief,3,0
28,0.710136,0.443877,0.321798,0,0.586476,0.77781,0.204124,19,sleep,3,0
29,0.599602,0.545747,0.145493,0,0.339062,0.59262,0.146148,2,play,3,0
30,0.70459,0.643574,0.510588,0,0.746036,0.645481,0.0577285,20,sleep,5,0
31,0.370146,0.422694,0.213354,0,0.556045,0.637662,0.210965,20,sleep,3,0
32,0.639718,0.846703,0.417852,0,0.616889,0.642136,0.0483653,2,wait,4,0
33,0.425222,0.486461,0.266328,0,0.539339,0.514169,0.025434,21,play,4,0
34,0.573514,0.493678,0.352897,0,0.599486,0.679644,0.0856579,22,sleep,5,0
35,0.563669,0.668123,0.458936,0,0.724468,0.629602,0.0918034,2,play,3,0
36,0.588552,0.506565,0.463984,5.88764e-05,0.551497,0.612548,0.0514944,23,move,4,0
37,0.673784,0.728848,0.27693,0,0.733083,0.723114,0.231098,2,talk,4,0
38,0.450241,0.463883,0.261826,0,0.693677,0.55495,0.139237,24,play,4,0
39,0.50221,0.664092,0.421079,0,0.725622,0.621565,0.278424,24,sleep,3,0
40,0.522317,0.478495,0.235042,0,0.761028,0.632935,0.245703,2,talk,4,0
41,0.581534,0.573703,0.150274,0,0.488815,0.624652,0.35125,25,sleep,4,0
42,0.561484,0.62658,0.498334,0,0.679311,0.580201,0.210617,2,talk,4,0
43,0.452366,0.679726,0.47277,0,0.708062,0.66469,0.0359456,26,play,4,0
44,0.395373,0.655043,0.487715,0,0.702019,0.745633,0.0512495,2,talk,4,0
45,0.429903,0.53188,0.107431,0,0.497281,0.659309,0.23557,27,sleep,4,0
46,0.37066,0.597297,0.23402,0,0.431961,0.69697,0.145752,28,sleep,5,0
47,0.493752,0.701409,0.496543,0,0.69816,0.673077,0.180355,28,sleep,4,0
48,0.640404,0.694422,0.22703,0,0.616895,0.745362,0.259988,29,private_relief,3,0
49,0.589975,0.530139,0.433462,0,0.550095,0.768339,0.339691,2,play,3,0
50,0.425685,0.672539,0.123396,0,0.487307,0.623414,0.141703,2,play,4,0
51,0.564026,0.699938,0.471342,0,0.658322,0.72401,0.0395184,2,wait,5,0
52,0.619213,0.646977,0.37692,0,0.519673,0.750244,0.143669,31,sleep,4,0
53,0.716181,0.547085,0.252802,0,0.709841,0.623655,0.245375,4,move,5,0
54,0.546101,0.348034,0.102548,0.000599176,0.31921,0.500962,0.226673,0,move,3,0
55,0.568562,0.598547,0.238067,0,0.723605,0.607555,0.177622,2,play,3,0
56,0.546949,0.671085,0.216866,0,0.757287,0.736073,0.209217,2,talk,3,0
57,0.325168,0.497615,0.217711,0,0.544875,0.707188,0.0677285,33,sleep,4,0
58,0.751049,0.443589,0.363303,0.00817041,0.667404,0.629226,0.312421,2,drink,4,0
59,0.34427,0.599213,0.379623,0,0.5,0.692495,0.248184,34,sleep,4,0
60,0.466714,0.504988,0.323616,0,0.762464,0.66703,0.20523,2,talk,3,0
61,0.571115,0.261253,0.170983,0.000477581,0.472512,0.616265,0.225307,1,move,2,0
62,0.641634,0.693735,0.448318,0,0.683612,0.538537,0.222656,2,play,5,0
63,0.441819,0.709043,0.320876,0,0.669988,0.734572,0.0968736,36,private_relief,3,0
64,0.587882,0.561546,0.456109,0,0.674284,0.715684,0.129364,37,sleep,4,0
65,0.555977,0.596924,0.124012,0,0.552699,0.589327,0.265944,2,talk,5,0
66,0.416207,0.432355,0.258709,0,0.743282,0.573748,0.26187,2,play,4,0
67,0.547673,0.60854,0.402893,0,0.740971,0.582542,0.214535,2,wait,3,0
68,0.459276,0.581616,0.121202,0,0.357371,0.533301,0.11652,2,talk,4,0
69,0.532961,0.588271,0.398327,0,0.531192,0.727717,0.160795,2,wait,5,0
70,0.585231,0.668959,0.466612,0,0.739037,0.720457,0.0680179,40,sleep,4,0
71,0.652751,0.650913,0.395996,0,0.673609,0.720513,0.139479,40,sleep,3,0
72,0.673224,0.631615,0.387606,0,0.693853,0.656227,0.232202,41,sleep,4,0
73,0.455346,0.671537,0.273297,0,0.705919,0.720546,0.173582,2,wait,4,0
74,0.491523,0.617289,0.351895,0,0.647137,0.788978,0.130789,2,talk,3,0
75,0.657136,0.64646,0.171935,0,0.510971,0.625671,0.192922,2,play,4,0
76,0.630223,0.606671,0.191018,0,0.716344,0.616595,0.142078,2,play,3,0
77,0.491414,0.464789,0.434853,0,0.62035,0.745281,0.132664,2,wait,4,0
78,0.479298,0.660985,0.435222,0,0.699981,0.604655,0.0676608,2,play,3,0
79,0.592179,0.635211,0.341423,0,0.723058,0.570144,0.270858,2,talk,4,0
80,0.576281,0.706857,0.204473,0,0.556311,0.578125,0.209997,2,play,3,0
81,0.548963,0.725863,0.246179,0,0.518967,0.408574,0.184621,2,play,4,0
82,0.370587,0.440775,0.363468,0,0.422915,0.207915,0.218561,2,play,2,0
83,0.561269,0.551779,0.331874,0,0.725502,0.643498,0.128103,2,play,3,0
84,0.530207,0.661361,0.465377,0,0.690164,0.640059,0.188269,47,sleep,5,0
85,0.398527,0.540398,0.120448,0,0.475405,0.611462,0.0973559,47,play,4,0
86,0.600333,0.734939,0.193097,0,0.650885,0.701174,0.2376,2,talk,3,0
87,0.586576,0.49703,0.314694,0,0.629743,0.779266,0.142221,2,wait,4,0
88,0.339301,0.417284,0.141542,0,0.575703,0.638875,0.190934,49,sleep,4,0
89,0.723825,0.632286,0.424735,0,0.60398,0.674273,0.156727,49,sleep,4,0
90,0.498222,0.341236,0.135663,0,0.293731,0.546633,0.117945,50,sleep,4,0
91,0.620764,0.568296,0.450249,0,0.659129,0.763771,0.108944,2,talk,4,0
92,0.544581,0.588227,0.369548,0,0.765758,0.535021,0.257803,2,play,4,0
93,0.645829,0.47672,0.1871,0,0.523185,0.706067,0.130334,51,sleep,3,0
94,0.741308,0.614514,0.297618,0,0.273782,0.345627,0.206335,3,wait,4,0
95,0.661885,0.381415,0.121569,0,0.442542,0.579275,0.0773851,52,sleep,4,0
96,0.637203,0.573054,0.380562,0,0.784888,0.586409,0.256547,2,play,3,0
97,0.52472,0.549719,0.474754,0,0.598887,0.729644,0.240106,53,sleep,4,0
98,0.721232,0.513445,0.285942,0.00418502,0.736941,0.536542,0.156416,0,move,5,0
99,0.560945,0.566061,0.193159,0,0.550375,0.761269,0.121632,2,wait,3,0
100,0.431888,0.770056,0.307085,3.32796e-07,0.771367,0.610496,0.104124,0,move,4,0
101,0.492666,0.468735,0.102221,0.000414604,0.40386,0.586123,0.3596,0,move,4,0
102,0.316558,0.557693,0.109782,0.00109421,0.528775,0.653401,0.258546,1,eat,2,1
103,0.610562,0.552094,0.431452,0,0.645871,0.710051,0.209298,3,wait,4,0
104,0.706014,0.620809,0.22743,0,0.766708,0.684776,0.230858,4,play,5,0
105,0.355187,0.483522,0.232517,0,0.779514,0.623448,0.175503,2,talk,3,0
106,0.518257,0.516329,0.272317,0,0.787458,0.545865,0.225616,2,play,4,0
107,0.622343,0.619078,0.286036,0,0.708216,0.582246,0.189719,2,talk,4,0
108,0.428168,0.47116,0.115471,0,0.528609,0.714421,0.160293,59,play,5,0
109,0.415717,0.582925,0.321298,0,0.512475,0.736987,0.167048,59,sleep,5,0
110,0.454878,0.422941,0.449138,0,0.582378,0.749053,0.239693,2,wait,4,0
111,0.495023,0.531546,0.464243,0,0.729067,0.755754,0.11678,60,sleep,3,0
112,0.502099,0.60813,0.370042,0,0.771906,0.733244,0.200686,2,wait,3,0
113,0.675752,0.747304,0.264964,0,0.770797,0.717191,0.117875,2,play,3,0
114,0.403383,0.607894,0.204509,0,0.622729,0.704285,0.128229,2,talk,3,0
115,0.731291,0.550499,0.461504,0,0.713755,0.61541,0.276713,1,wait,3,0
