actor,home,household,place,energy,water,sleep_pressure,fatigue,damage,leisure,social,deficit,desire,money,food,violations,failures,critical_seconds,phase,method
1,116,1,2,0.340634070352,0.611872403546,0.461358113427,0,0,0.738108466764,0.849043100793,0.150900345309,0.156099186932,10,0,0,0,0,2,talk
2,117,1,117,0.524364504276,0.681868164612,0.168402452129,0,0,0.505289648878,0.611179631216,0.45155931438,0.327596586595,9,0,0,0,0,4,sleep
3,118,3,2,0.367134881387,0.419981583638,0.304973719778,0,0,0.811531097486,0.847502692089,0.229640336477,0.192909724799,10,0,0,0,0,2,talk
4,119,3,119,0.240903874238,0.758419724613,0.310883886832,0,0,0.600308994335,0.676183122784,0.108023090341,0.0568956238829,10,0,0,1,0,4,sleep
5,120,5,2,0.712887672479,0.940605268224,0.322707027658,0,0,0.75250164782,0.725756872401,0.0908922653931,0.411086877285,9,0,0,5,0,2,leisure
6,121,5,121,0.545376814401,0.294706912286,0.385118764073,0,0,0.592713635661,0.48302551884,0.0818910079145,0.0461247823029,9,0,0,0,0,4,sleep
7,122,7,122,0.349556973837,0.395108532792,0.248820340034,0,0,0.472667126986,0.435690850252,0.059893446666,0.056952621982,10,0,0,9,0,4,sleep
8,123,7,2,0.578865661931,0.534673079138,0.370673500484,0,0,0.734447919375,0.575693388312,0.0253670892099,0.0592101780134,9,0,0,2,0,2,talk
9,124,9,2,0.62153926767,0.783857112244,0.339763119634,0,0,0.703208178862,0.580736158504,0.203196506343,0.0635892190499,9,0,0,1,0,2,leisure
10,125,9,2,0.704712646222,0.456560898089,0.137294570209,0,0,0.60673549564,0.568907597179,0.175182732475,0.145480875504,9,0,0,2,0,2,leisure
11,126,11,2,0.340417701378,0.681325204581,0.23951722428,0,0,0.623682902182,0.527460130148,0.10610580512,0.12434263461,10,0,0,4,0,2,leisure
12,127,12,2,0.340075545402,0.516651840003,0.110490046832,0,0,0.322703862874,0.4054563094,0.103084775904,0.366494432602,10,0,0,4,0,2,talk
13,128,13,2,0.558735532679,0.452561219861,0.384845986251,0,0,0.746125571646,0.653991327021,0.065096059333,0.0329014987517,9,0,0,2,0,2,leisure
14,129,13,129,0.597228313393,0.483182120263,0.307178135515,0,0,0.581185128256,0.53728439099,0.103454537636,0.0655688577089,9,0,0,1,0,4,sleep
15,130,15,2,0.304160736419,0.53270977001,0.118071354398,0,0,0.530025800073,0.564819663253,0.0700287228304,0.0876283162773,10,0,0,1,0,2,leisure
16,131,16,131,0.254717397364,0.551759312787,0.264287793825,0,0,0.608472990666,0.510182245046,0.500472077316,0.35100812541,10,0,0,1,0,4,sleep
