actor,home,household,place,energy,water,sleep_pressure,fatigue,damage,leisure,social,deficit,desire,money,food,violations,failures,critical_seconds,phase,method
1,116,1,2,0.747917218263,0.67118461659,0.361058096262,0,0,0.789737614311,0.845349287425,0.2277214174,0.0319543240578,9,0,0,0,0,2,talk
2,117,1,117,0.644626512536,0.820585169316,0.435193891602,0,0,0.706178878476,0.815735060673,0.431768423666,0.337109549619,9,0,0,0,0,4,sleep
3,118,3,2,0.632931984233,0.669883908088,0.289520634559,0,0,0.662052190653,0.781088676886,0.424956915832,0.329706794705,9,0,0,0,0,2,leisure
4,119,3,1,0.26869856553,0.42589033545,0.246516607399,0.000666953062307,0,0.686858072814,0.686277046991,0.180013260173,0.184622833905,9,1,0,1,0,1,eat
5,120,5,2,0.312850287261,0.505607754896,0.286214379696,0,0,0.761587134546,0.648609915137,0.136537448863,0.0150232848495,10,0,0,2,0,2,talk
6,121,5,121,0.582338987106,0.736791574689,0.240530925523,0,0,0.635251267647,0.531376801989,0.0837704701776,0.0594486642212,9,0,0,0,0,4,sleep
7,122,7,2,0.679800417811,0.34695663233,0.201500112897,0,0,0.589522738734,0.591825277766,0.124312421322,0.398372137515,9,0,0,3,0,2,leisure
8,123,7,2,0.419571568875,0.555711168118,0.32693748321,0,0,0.725560052121,0.584224769919,0.111131658604,0.274732958027,10,0,0,10,0,2,talk
9,124,9,124,0.60879958776,0.687747623487,0.250983730821,0,0,0.755854248152,0.563716736284,0.179536598826,0.124658369552,9,0,0,1,0,2,idle
10,125,9,2,0.565809031596,0.620988548515,0.194249703473,0,0,0.700380137327,0.599338691706,0.0852022997007,0.294091508997,9,0,0,3,0,2,leisure
11,126,11,2,0.395359894743,0.531495045151,0.112471885333,0,0,0.488821379926,0.463410347656,0.0993231748485,0.372152055841,10,0,0,4,0,2,talk
12,127,12,127,0.399674453295,0.343186156735,0.359201670702,0,0,0.456335103633,0.512790837453,0.166338807328,0.108241262982,10,0,0,6,0,4,sleep
13,128,13,128,0.610551013633,0.870989813177,0.28249440365,0,0,0.739666207687,0.660866764716,0.0814437703116,0.14258252286,9,0,0,5,0,2,private_intimacy
14,129,13,129,0.28779447091,0.509982644731,0.535758794201,0,0,0.468084294904,0.476220803375,0.107517034777,0.0888757382808,10,0,0,3,0,4,sleep
15,130,15,130,0.528787000445,0.471691210025,0.261032903263,0,0,0.571138326295,0.615893561308,0.0613844495961,0.0462264859263,9,0,0,13,0,4,sleep
16,131,16,2,0.727851750869,0.71444111049,0.398055744231,0,0,0.760260935441,0.643889400689,0.214656923867,0.0337532954319,9,0,0,6,0,2,leisure
