actor,home,household,place,energy,water,sleep_pressure,fatigue,damage,leisure,social,deficit,desire,money,food,violations,failures,critical_seconds,phase,method
1,116,1,2,0.355916941047,0.782073570467,0.46662096536,0,0,0.759234704817,0.535687301762,0.119536751979,0.487228187458,6,0,0,1,0,2,talk
2,117,1,117,0.558744296001,0.805770975281,0.387548051587,0,0,0.709149376054,0.8145198549,0.151677048013,0.158623413923,7,0,1,2,0,4,sleep
3,118,3,2,0.541280004021,0.587969518347,0.381583322668,0,0,0.794688355833,0.651268642993,0.121393113025,0.384069304349,6,0,0,5,0,2,talk
4,119,3,2,0.69592635887,0.691863016543,0.173397248828,0,0,0.583283161337,0.733894666254,0.222304115667,0.160867182327,5,0,0,2,0,2,talk
5,120,5,120,0.516168159641,0.457038509833,0.349387135822,0.000120421303942,0,0.785661597264,0.778261651736,0.0141953960561,0.0310885294803,8,0,0,11,0,1,drink
6,121,5,121,0.378231821766,0.321433705814,0.199975005748,0,0,0.586948301698,0.698008427645,0.109365566552,0.0579966924405,9,0,0,2,0,4,sleep
7,122,7,5,0.410753040847,0.726397661409,0.112741070067,0.000559969327963,0,0.490943535422,0.48221265128,0.0749258104892,0.0727448446937,8,0,0,22,0,2,work
8,123,7,123,0.609024279321,0.626201394359,0.33338627311,0,0,0.722800856726,0.697997525616,0.0446539137739,0.0334161346503,7,0,0,25,0,4,sleep
9,124,9,2,0.566443129781,0.574393259918,0.10675481879,0,0,0.51461859625,0.58215177563,0.0617294710908,0.0356242920256,8,0,0,21,0,2,leisure
10,125,9,2,0.462043339439,0.868019945721,0.230268531069,0,0,0.745134940304,0.59968413048,0.0861932410408,0.0903808509539,6,0,0,15,0,2,talk
11,126,11,126,0.335571673138,0.589244916853,0.36697591034,0.000502828292963,0,0.81539393098,0.659188339931,0.0514994420306,0.102127784552,5,1,0,30,0,2,eat
12,127,12,2,0.67481905919,0.478843203681,0.308773578741,0,0,0.764989086455,0.682767600868,0.023384072952,0.124708391634,7,0,0,15,0,2,leisure
13,128,13,128,0.472249174703,0.510800116557,0.206462608123,0,0,0.67202782493,0.674963536671,0.0660740038496,0.0535869415191,7,0,0,19,0,4,sleep
14,129,13,2,0.747125338675,0.876830791612,0.363462476082,0,0,0.732775028785,0.667282557626,0.0423661912165,0.135280430767,7,0,0,21,0,2,talk
15,130,15,2,0.433654932832,0.333173550931,0.236148534872,0.000118541901882,0,0.711214942058,0.485925715395,0.0955404321652,0.118297972262,9,0,0,12,0,1,drink
16,131,16,2,0.45263837608,0.83121107814,0.536716750055,0,0,0.785240421992,0.63876721538,0.202970745577,0.164575512692,6,0,0,57,0,2,talk
