actor,home,household,place,energy,water,sleep_pressure,fatigue,damage,leisure,social,deficit,desire,money,food,violations,failures,critical_seconds,phase,method
1,116,1,3,0,0,1,0.0655094978427,0.973573803376,0,0.213249211877,0.289362120899,0.213364696405,10,0,0,1,60484,2,idle
2,117,1,3,0,0.333275238919,1,0.00225348248513,0.354874171512,0,0.0906904279826,0.539835120985,0.367165259179,9,0,0,1,48651,2,idle
3,118,3,3,0,0.263226090954,1,0.072664799127,0.410280771657,0,0.290826455065,0.37708229636,0.25421471107,10,0,0,1,56684,0,idle
4,119,3,3,0,0.68655228624,1,0.0940635438647,0.552530971016,0,0.146847741969,0.265486007303,0.157017811973,10,0,0,2,72809,2,idle
5,120,5,3,0,0.451451650566,0.963524833679,0.00213639279035,0.0885345948737,0,0.291498229112,0.229560459252,0.1948753994,9,0,0,7,18158,2,idle
6,121,5,3,0,0.266596455739,1,0.0652657997898,0.332666995472,0,0.0781929091537,0.285417165372,0.178939533709,9,0,0,0,45843,2,idle
7,122,7,3,0,0.216332565488,1,0.0797797002153,0.430276226761,0,0,0.251796511533,0.216139554668,10,0,0,10,59014,2,idle
8,123,7,1,0,0.41506226607,0.790940753632,0.00771149339636,0.285720735393,0,0.0789517103449,0.328451093621,0.238471999005,9,0,0,6,40714,1,inspect
9,124,9,1,0,0.418329245752,0.930757125941,0.171777448451,0.266712482011,0,0.258534505476,0.359392586287,0.196383983786,9,0,0,2,37489,1,inspect
10,125,9,3,0,0.327403429521,1,0.071335454369,0.118460468642,0,0.197940313295,0.152464334575,0.133877511087,9,0,0,3,20373,2,idle
11,126,11,3,0,0.283777183256,1,0.0812720794433,0.442657018428,0,0,0.306385173567,0.25073323846,10,0,0,5,60390,2,idle
12,127,12,3,0,0.453298170883,1,0.0883235002211,0.443360977595,0,0,0.23932534713,0.151047105043,10,0,0,5,60464,2,idle
13,128,13,3,0,0.338583825904,1,0.073340550973,0.310665698724,0,0.170861292508,0.264225878482,0.201590968372,9,0,0,3,43575,2,idle
14,129,13,3,0,0.401942751921,1,0.057004636836,0.264407546058,0,0,0.324182105241,0.229932069634,9,0,0,2,38290,2,idle
15,130,15,3,0,0.323735836975,1,0.272472772374,0.517817037123,0,0.0826273753854,0.252863690094,0.223098214666,10,0,0,2,67814,2,idle
16,131,16,3,0,0.288739408392,1,0.0684641604257,0.53917430947,0,0,0.576943797666,0.380465888877,10,0,0,2,71305,2,idle
