actor,home,household,place,energy,water,sleep_pressure,fatigue,damage,leisure,social,deficit,desire,money,food,violations,failures,critical_seconds,phase,method
1,132,1,2,0.76585316823,0.749593423427,0.24202330504,0.0425053403144,0,0.725839362782,0.672083539019,0.21805391641,0.188877171456,10,1,0,0,0,2,leisure
2,133,1,2,0.758717882036,0.75236361157,0.173057140946,0.0431509267433,0,0.723125711638,0.670710260139,0.35111133737,0.278753974794,10,1,0,0,0,2,leisure
3,134,3,2,0.766853439725,0.751812355175,0.282799867379,0.0430527684502,0,0.735727696108,0.675707412379,0.487914933223,0.311372145583,10,1,0,0,0,2,leisure
4,135,3,2,0.761751817298,0.755988429053,0.284091215473,0.0419777636367,0,0.725042016599,0.677944359133,0.245259527592,0.160695530866,10,1,0,0,0,2,leisure
5,136,5,2,0.767011489623,0.747008881519,0.159569073494,0.0422242700624,0,0.732471578495,0.67435153005,0.444069580835,0.553690841876,10,1,0,0,0,2,leisure
6,137,5,2,0.759726130907,0.75735246084,0.257540000541,0.042539777664,0,0.722289113845,0.678305289024,0.216728587059,0.16497017372,10,1,0,0,0,2,leisure
7,138,7,2,0.766245625013,0.751037148024,0.189117103921,0.0423558369918,0,0.732599596555,0.670928734732,0.174101652895,0.201070658557,10,1,0,0,0,2,leisure
8,139,7,2,0.761294457701,0.751639410869,0.225931902745,0.0424194753686,0,0.728857351348,0.672186901961,0.317093630824,0.242234931908,10,1,0,0,0,2,leisure
9,140,9,2,0.762890782889,0.75681044101,0.241674076557,0.0427868814889,0,0.722357428291,0.679936338509,0.271766969867,0.170732910682,10,1,0,0,0,2,leisure
10,141,9,2,0.766546251928,0.753808475663,0.202441894727,0.0422938763774,0,0.730268841665,0.674050963686,0.427084041101,0.295548706504,10,1,0,0,0,2,leisure
11,142,11,2,0.765848967203,0.752550020536,0.28452887746,0.0420775418609,0,0.735247528704,0.67743414825,0.167158831516,0.206668779467,10,1,0,0,0,2,leisure
12,143,11,2,0.76571530604,0.75594867075,0.253337072629,0.0427010023253,0,0.72714552564,0.675716459279,0.307387057587,0.191120404498,10,1,0,0,0,2,leisure
13,144,13,144,0.759724780375,0.752492353118,0.295013456925,0.0454837737712,0,0.721239529543,0.678387074079,0.371487551942,0.343787604882,10,1,0,0,0,2,private_intimacy
14,145,13,2,0.762039830699,0.754958201205,0.157567888359,0.0420847229807,0,0.719522277491,0.673516693828,0.320857589266,0.248440259056,10,1,0,0,0,2,leisure
15,146,15,2,0.764412075392,0.746447939423,0.211985993032,0.042703491636,0,0.728283951517,0.679908654672,0.23806039275,0.254234469004,10,1,0,0,0,2,leisure
16,147,15,2,0.762254917539,0.75769234602,0.167538834992,0.042161559041,0,0.727897945313,0.673832978214,0.414246712342,0.308519092632,10,1,0,0,0,2,leisure
17,148,17,2,0.760376301133,0.747682755668,0.165682082833,0.0426515152779,0,0.734599571595,0.672948540636,0.279902387259,0.251954214217,10,1,0,0,0,2,leisure
18,149,17,2,0.767281772252,0.759837393719,0.238633537608,0.0418197833071,0,0.730431482468,0.679085102078,0.333130961966,0.22583841199,10,1,0,0,0,2,leisure
19,150,19,2,0.7625347454,0.749429458782,0.184694935301,0.0431079420383,0,0.726009745563,0.674773671741,0.399905298369,0.305661702585,10,1,0,0,0,2,leisure
20,151,20,2,0.766357095709,0.750188891982,0.29282952413,0.0422277080152,0,0.737086146905,0.678541819235,0.281188042669,0.224167253704,10,1,0,0,0,2,leisure
21,152,21,2,0.759838534608,0.751142990557,0.215918110458,0.0430095451667,0,0.719275498094,0.671464748296,0.17313287365,0.184114911726,10,1,0,0,0,2,leisure
22,153,21,2,0.761628140078,0.756423148779,0.245243860799,0.0422340450256,0,0.72688039984,0.676428917217,0.189980245789,0.214836686521,10,1,0,0,0,2,leisure
23,154,23,2,0.760192359958,0.750591398305,0.191196778597,0.0431297980565,0,0.718526716061,0.672335529803,0.252820968696,0.170758655525,10,1,0,0,0,2,leisure
24,155,24,2,0.763609893268,0.752912020983,0.290813716293,0.043267790984,0,0.723098287103,0.678819671463,0.317967124592,0.237750651956,10,1,0,0,0,2,leisure
25,156,25,2,0.765128342988,0.75886532584,0.149102567814,0.0427891419202,0,0.722245029336,0.672281081837,0.446274061553,0.322180389374,10,1,0,0,0,2,leisure
26,157,25,2,0.763329805583,0.754331994668,0.196159255092,0.042025976771,0,0.727852663071,0.672512287904,0.368425626521,0.451184416506,10,1,0,0,0,2,leisure
27,158,27,2,0.768442750092,0.747525038829,0.286148872522,0.0428680710089,0,0.733988925372,0.678744031902,0.489871408989,0.291768346382,10,1,0,0,0,2,leisure
28,159,28,2,0.767386011201,0.746130620879,0.223236684352,0.0428610417373,0,0.72505260644,0.678368156413,0.231094406153,0.199612286714,10,1,0,0,0,2,leisure
29,160,29,2,0.768973867956,0.751955568625,0.270496230801,0.0424409412399,0,0.734566444677,0.67752454147,0.304024538777,0.210041370897,10,1,0,0,0,2,leisure
30,161,29,2,0.760281851598,0.747631315781,0.271006676583,0.0426458334731,0,0.732314039346,0.672461032041,0.341831990492,0.275226708983,10,1,0,0,0,2,leisure
31,162,31,2,0.762401314714,0.757739126656,0.164721339881,0.0428032216056,0,0.731516627228,0.670411130059,0.319654357954,0.218448493337,10,1,0,0,0,2,leisure
32,163,32,2,0.768619637317,0.756035774351,0.224262414053,0.0424640827207,0,0.728647091776,0.679521936755,0.245480288123,0.226607051908,10,1,0,0,0,2,leisure
