actor,home,household,place,energy,water,sleep_pressure,fatigue,damage,leisure,social,deficit,desire,money,food,violations,failures,critical_seconds,phase,method
1,116,1,116,0.483150876698,0.477108097458,0.220972706166,0,0,0.320764260311,0.756596671939,0.171561900073,0.114722541957,519.342234685,0,0,0,0,4,sleep
2,117,1,2,0.445855219586,0.566730541681,0.309102936134,0,0,0.621759289482,0.840497123498,0.159890614944,0.121962701939,205.279206729,0,0,0,0,2,leisure
3,118,3,2,0.471845647228,0.41282277885,0.385802563097,0,0,0.501184152743,0.500854512047,0.300754373339,0.255486199593,110.495106746,0,0,0,0,0,idle
4,119,3,119,0.631142599733,0.574527685974,0.499770531209,0,0,0.546978785699,0.607605507447,0.202967399718,0.162401132719,157.058967119,0,0,1,0,4,sleep
5,120,5,116,0.627850740035,0.474240341755,0.524489570594,0,0,0.438234746355,0.72279281512,0.238724348767,0.00826836987541,162.205749403,0,0,0,0,0,idle
6,121,5,2,0.374363876402,0.393013585588,0.49429076172,0,0,0.425048127833,0.723251694692,0.495289503437,0.318256127177,91.1281474291,0,0,0,0,2,leisure
7,122,7,122,0.514427773777,0.399401015452,0.10964726779,0,0,0.121247826668,0.408061302103,0.101248896538,0.0512594961168,114.199485179,0,0,1,0,4,sleep
8,123,7,123,0.344167222971,0.372830099397,0.37067218365,0,0,0.260888082977,0.463152518298,0.334798005792,0.151599676297,56.8025639751,0,0,0,0,4,sleep
9,124,9,2,0.547338478661,0.340073650286,0.343823562452,0,0,0.452682113089,0.525467445927,0.169380077812,0.0638218275844,22.6183461645,0,0,0,0,2,leisure
10,125,9,3,0.647216702162,0.356834944536,0.369698268238,0,0,0.422744830445,0.0778326945667,0.336590283254,0.286776530828,173.56297359,0,0,0,0,2,idle
11,126,11,4,0.399367287437,0.598255206322,0.453821287854,0,0,0.427738982838,0.784301742899,0.363036677978,0.273064032562,185.464679536,0,0,0,0,0,idle
12,127,12,127,0.57283490914,0.438016103788,0.403599759876,0,0,0.418633040302,0.692223796818,0.29327024822,0.105727643914,69.2994799901,0,0,0,0,4,sleep
13,128,13,2,0.327880718677,0.264681259911,0.559556866468,0,0,0.162063907299,0.0581118522005,0.806853235595,0.376868483663,0,0,0,0,0,2,leisure
14,129,13,2,0.331035237348,0.42248772028,0.452191889729,0,0,0.471508405101,0.334746935152,0.0663298353936,0.00333518737755,175.220524716,0,0,0,0,2,leisure
15,130,15,130,0.620843928678,0.320609821058,0.350356353497,0,0,0.372898929114,0.0116820023712,0.923454346367,0.466520241825,123.921887833,0,0,0,0,4,sleep
16,131,16,4,0.473484676206,0.563190470593,0.289892393894,0,0,0.410771183634,0.152999430838,0.295545398809,0.15624607954,131.665513137,0,0,0,0,2,idle
