actor,home,household,place,energy,water,sleep_pressure,fatigue,damage,leisure,social,deficit,desire,money,food,violations,failures,critical_seconds,phase,method
1,116,1,116,0.602050714716,0.530951038873,0.379409471189,0,0,0.532215024664,0.808328356017,0.0561504519163,0.0365580897888,418.310319535,0,0,0,0,4,sleep
2,117,1,117,0.332262348838,0.34309290808,0.14597225943,0,0,0.416591486528,0.77924034686,0.179065026991,0.112562578483,163.491242049,0,0,1,0,4,sleep
3,118,3,118,0.292996179487,0.329647459789,0.14063716759,0,0,0.355917909847,0.795879165156,0.908684216887,0.470537086832,128.820526402,0,0,0,0,4,sleep
4,119,3,4,0.441640785939,0.615107184565,0.464610342501,0,0,0.524811581911,0.730053507658,0.098638302887,0.0777064662521,85.874336406,0,0,0,0,2,idle
5,120,5,2,0.510722193845,0.505045240704,0.574321056611,0,0,0.355977093922,0.749215570916,0.487880343042,0.465208470119,136.064211307,0,0,0,0,0,idle
6,121,5,2,0.457552784205,0.547267870323,0.294485808975,0,0,0.541137359664,0.62833858557,0.123068552046,0.14564429264,187.231707217,0,0,0,0,0,idle
7,122,7,122,0.656783616904,0.355040751635,0.116021494565,0,0,0.298971609246,0.724132895344,0.0684278296865,0.0894311610367,78.8665767269,0,0,0,0,4,sleep
8,123,7,2,0.347417237408,0.452662234,0.534606213037,0,0,0.490430231413,0.472357758309,0.740898035764,0.472823967289,77.5350057147,0,0,0,0,2,leisure
9,124,9,2,0.325286353887,0.405289919574,0.398787575793,0,0,0.457905381434,0.825220221219,0.348127741918,0.285460099465,46.5951149597,0,0,0,0,0,idle
10,125,9,125,0.29325636172,0.383023591514,0.165166965761,0,0,0.294596464084,0.726306865878,0.857190182332,0.442707752574,66.6153568272,0,0,0,0,4,sleep
11,126,11,2,0.466469640693,0.370556735256,0.429598883582,0,0,0.612169471678,0.486673405315,0.0859212383014,0.0881468691926,87.3342206685,0,0,0,0,2,idle
12,127,12,2,0.542666268165,0.500826302258,0.272544316312,0,0,0.464500377696,0.632184473167,0.193376468745,0.280565199223,124.626134461,0,0,0,0,2,leisure
13,128,13,4,0.470269904193,0.503198317888,0.520064335937,0,0,0.180773730423,0,0.310982835302,0.230834968576,170.315008229,0,0,0,0,2,idle
14,129,13,129,0.299946728417,0.455989417839,0.526786907258,0,0,0.255664863233,0.589149981766,0.40663245903,0.217066764507,64.0787484669,0,0,0,0,4,sleep
15,130,15,130,0.655494246975,0.478300534685,0.452986139908,0,0,0.496079791525,0.758886869026,0.52477689925,0.373334636272,92.0151636188,0,0,0,0,4,sleep
16,131,16,131,0.439060203314,0.543862226893,0.485295397761,0,0,0.433947948417,0.296667219167,0.129118256085,0.0488422553885,131.881833535,0,0,0,0,2,idle
