actor,home,household,place,energy,water,sleep_pressure,fatigue,damage,leisure,social,deficit,desire,money,food,violations,failures,critical_seconds,phase,method
1,116,1,6,0.378392342763,0.567745203128,0.138523791959,0.000571275686204,0,0.198366396835,0.537398229467,0.207537008175,0.169152283711,135.860979167,0,0,1,0,5,talk
2,117,1,117,0.601702132538,0.454160900903,0.205091661823,0,0,0.500844822413,0.58252447715,0.158553694341,0.0955083691206,167.593755208,0,0,1,0,4,sleep
3,118,3,2,0.387639478194,0.507516953666,0.179773790288,0,0,0.50859844362,0.756474507187,0.598000049665,0.0497405359152,149.859765625,0,0,3,0,2,leisure
4,119,3,119,0.271311588025,0.297220849754,0.209767608481,0,0,0.226998355238,0.404612954005,0.149910140854,0.0840887816953,109.006630208,0,0,0,0,4,sleep
5,120,5,120,0.436578633528,0.603748659465,0.403845943643,0,0,0.336290602209,0.568750687529,0.140543749004,0.0711907123512,113.754828125,0,0,18,0,4,sleep
6,121,5,1,0.540276001302,0.376020106402,0.175002269404,0.000228121242446,0,0.371549815819,0.59545275996,0.392557672064,0.296440511828,138.152557292,0,0,0,0,1,drink
7,122,7,122,0.684769428098,0.761368195625,0.186147055392,0,0,0.401029975731,0.495403176654,0.214690350792,0.203803352988,97.8248854167,0,0,8,0,2,private_intimacy
8,123,7,123,0.589222610234,0.480820052449,0.350116126106,0,0,0.615328160865,0.787079756467,0.155454248683,0.10955004251,115.896401042,0,0,4,0,4,sleep
9,124,9,2,0.55178406659,0.391475712214,0.366159110388,0,0,0.311868288282,0.542950533695,0.260411906528,0.253780410255,92.4616822917,0,0,21,0,2,talk
10,125,9,2,0.466909876477,0.519032444948,0.410244406583,0,0,0.646084823369,0.751309976442,0.509550538677,0.0129120663123,110.875,0,0,15,0,2,talk
11,126,11,126,0.271180639939,0.314300692492,0.131786083962,0,0,0,0.214262216456,0.179196060055,0.133126518067,137.117921875,0,0,11,0,4,sleep
12,127,12,2,0.368862230702,0.528370419808,0.177253784709,0,0,0.473960544574,0.494863571233,0.187412631431,0.551534342856,122.186515625,0,0,19,0,2,talk
13,128,13,2,0.638428082727,0.423626524306,0.323972205368,0,0,0.249194569706,0.281666128435,0.419849772061,0.39992099705,124.823608681,0,0,10,0,2,talk
14,129,13,2,0.577522766388,0.382942476039,0.299235225196,0,0,0.449738233898,0.474239975691,0.377834057424,0.245607051972,109.527005208,0,0,45,0,2,talk
15,130,15,2,0.503574054943,0.410995270041,0.428358357335,0,0,0.631303673842,0.619869145363,0.406806464373,0.293100561892,96.77471875,0,0,21,0,2,talk
16,131,16,131,0.513461563874,0.468308311708,0.574697638267,0,0,0.455127773849,0.490112228104,0.323284281962,0.263021312251,106.176649306,0,0,76,0,4,sleep
