actor,home,household,place,energy,water,sleep_pressure,fatigue,damage,leisure,social,deficit,desire,money,food,violations,failures,critical_seconds,phase,method
1,116,1,116,0.40215098073,0.423827344578,0.491172160135,0,0,0,0,0.764060165364,0.428292610647,429.968263889,0,0,18,0,4,sleep
2,117,1,2,0.382690457263,0.43470257575,0.43340162357,0,0,0.487587205591,0.380335253122,0.193137650948,0.114833929583,158.48665625,0,0,87,0,2,leisure
3,118,3,6,0.480374723293,0.276304987432,0.575835939196,0.0268806097126,0,0,0,0.908684216887,0.468653001884,74.8163159722,0,0,1224,0,1,talk
4,119,3,119,0,0,1,0,1,0,0,0.654432568677,0.371425177897,144.781704861,0,0,28,66931,0,idle
5,120,5,2,0.295081185775,0.480469349758,0.564354156385,0,0,0,0,0.851967937623,0.472624885101,25.7056215278,0,0,4,0,0,idle
6,121,5,121,0.571971233004,0.544408759146,0.664517783174,0.11880499376,0,0,0,0.884670333412,0.448592418869,96.8407118056,0,0,1819,0,4,sleep
7,122,7,2,0.275404513679,0.276835834816,0.397554228859,0,0,0.324582911035,0.514914231395,0.72423257991,0.475455801626,143.90309375,0,0,291,0,2,leisure
8,123,7,123,0.418381504354,0.317206301074,0.184751296949,0,0,0,0,0.876754117418,0.514815805651,78.2624895833,0,0,20,0,4,sleep
9,124,9,124,0.461640273305,0.377754492929,0.689960619925,0,0,0,0,0.742316545956,0.48332151438,67.1083854167,0,0,1,0,4,sleep
10,125,9,125,0,0.163479007455,1,0,0.0567077224761,0,0.197852574566,0.857190182332,0.442707759215,22.9087291667,0,0,218,13829,2,idle
11,126,11,126,0.259417704735,0.396230080053,0.303124772069,0,0,0,0,0.804651897398,0.4535173094,40.4621145833,0,0,24,0,4,sleep
12,127,12,2,0.367062081553,0.51422092051,0.456802533708,0,0,0,0,0.763302387494,0.408756027266,3.87514236111,0,0,107,0,0,idle
13,128,13,2,0.297376370639,0.367898169733,0.652934373292,0,0,0,0,0.903181746333,0.482112958589,45.1001944444,0,0,34,0,0,idle
14,129,13,2,0.240783520933,0.311302187721,0.31735770231,0,0,0,0,0.789892811041,0.410774318546,117.3931875,0,0,628,0,0,idle
15,130,15,130,0.435140788831,0.500154121409,0.644416812616,0,0,0,0,0.911589077324,0.555063382912,48.3727430556,0,0,115,0,4,sleep
16,131,16,131,0.238346265301,0.37853595744,0.395483534335,0,0,0,0,0.918263051702,0.5565272162,99.525375,0,0,1787,0,4,sleep
