actor,home,household,place,energy,water,sleep_pressure,fatigue,damage,leisure,social,deficit,desire,money,food,violations,failures,critical_seconds,phase,method
1,116,1,2,0.25965518216,0.285628007187,0.680882172478,0,0,0.0791614402626,0.0743683715828,0.620117651293,0.363540474851,476.351319444,0,0,398,0,0,idle
2,117,1,117,0.363136809804,0.393537098929,0.454117304584,0,0,0.251693785932,0.64559069375,0.643185639172,0.382008510118,79.6952118056,0,0,522,0,4,sleep
3,118,3,2,0.441314062165,0.455722341358,0.640612077519,0.0104949730805,0,0.127678738726,0,0.908684216887,0.469676370126,41.4091493056,0,0,1782,0,0,idle
4,119,3,119,0.556942540366,0.361987344013,0.673988515297,0,0,0,0.637061939255,0.571975761674,0.334266401363,25.0977708333,0,0,100,0,4,sleep
5,120,5,2,0.569615925551,0.597154980281,0.313302885072,0,0,0.146305448895,0.0439135641136,0.764467683202,0.432104085987,46.6784166667,0,0,232,0,2,leisure
6,121,5,4,0,0.3608270095,1,0.0281130564241,0.109794906589,0,0,0.884670333412,0.455767664096,0,0,0,308,20523,2,idle
7,122,7,6,0.305823654475,0.342501206796,0.300259279229,0.0308584336215,0,0.000660247115563,0,0.72423257991,0.470855152727,114.462517361,0,0,279,0,1,talk
8,123,7,4,0.380219311326,0.497021918476,0.672530349244,0.00058740280787,0,0.356168727914,0,0.876754117418,0.514782048132,147.201482639,0,0,34,0,1,sleep
9,124,9,2,0.55199132462,0.28293432121,0.406976983005,0,0,0,0,0.742316545956,0.482421771378,16.2968888889,0,0,2,0,0,idle
10,125,9,2,0.360819003159,0.484546207312,0.558917951107,0,0,0,0,0.857190182332,0.441891114671,48.3220451389,0,0,5,0,0,idle
11,126,11,2,0.537205614919,0.50077475966,0.46327783914,0,0,0.378781287912,0,0.804651897398,0.455039173199,73.5083576389,0,0,110,0,0,idle
12,127,12,2,0.337942434061,0.468309916874,0.233342900202,0,0,0,0,0.763302387494,0.408223505952,21.4706736111,0,0,132,0,0,idle
13,128,13,1,0.238906735011,0.491185490221,0.62271984447,0.00126303848728,0,0.120811731479,0,0.903181746333,0.480820822519,71.5075034722,1,0,123,0,2,eat
14,129,13,6,0.260564103244,0.353360684452,0.273417313891,0.0311450671872,0,0,0,0.789892811041,0.408444311641,118.046930556,0,0,613,0,1,leisure
15,130,15,2,0.452925159767,0.289693920097,0.637364178031,0,0,0,0,0.911589077324,0.55549475547,59.1179027778,0,0,2,0,0,idle
16,131,16,131,0.499772968273,0.454541556984,0.452380225134,0,0,0,0,0.918263051702,0.5565272162,117.564885417,0,0,2067,0,4,sleep
