actor,home,household,place,energy,water,sleep_pressure,fatigue,damage,leisure,social,deficit,desire,money,food,violations,failures,critical_seconds,phase,method
1,116,1,116,0.564743439446,0.344794814644,0.187657553568,0,0,0.546950046367,0.774382037777,0.0677772355131,0.03630619302,142.223399653,0,0,7,0,4,sleep
2,117,1,117,0.500082392063,0.327315950198,0.417317547534,0,0,0.254244292901,0.666173770462,0.185428381763,0.114512430183,78.132859375,0,0,8,0,4,sleep
3,118,3,2,0.681470013069,0.63966467988,0.308574582312,0,0,0.7581975473,0.842722223283,0.0398596050979,0.0989944907971,256.816372222,0,0,37,0,2,talk
4,119,3,4,0.620666349298,0.684142503834,0.107244664836,0,0,0.505580480132,0.736693321875,0.184609482989,0.165615808295,338.412064236,0,0,48,0,1,leisure
5,120,5,2,0.541056086753,0.574669325217,0.484934561695,0,0,0.549749432269,0.468873768974,0.16637131202,0.106765452444,31.9480170139,0,0,8,0,2,idle
6,121,5,2,0.607952738626,0.694764570224,0.421771642784,0,0,0.781751312834,0.76728558608,0.0221133412894,0.0762353788851,135.804590972,0,0,19,0,2,leisure
7,122,7,122,0.460605046057,0.488212266377,0.337507594447,0,0,0.706922698057,0.795838793004,0.061472478403,0.0679806842395,436.367946528,0,0,42,0,4,sleep
8,123,7,2,0.540179580931,0.436723854695,0.137148929556,0,0,0.649724367212,0.733619964701,0.0574754915194,0.0393489762985,247.833617361,0,0,36,0,2,leisure
9,124,9,4,0.461010431019,0.591917069596,0.626534883911,0,0,0.164557890133,0.436865964499,0.35664503552,0.28335575836,60.6757131944,0,0,195,0,2,idle
10,125,9,2,0.389753834204,0.736205416882,0.638698986732,0,0,0.490260324704,0.745816496539,0.397561648899,0.27405096917,0,0,0,132,0,2,talk
11,126,11,126,0.471263487079,0.839319382117,0.185219276659,0,0,0.635409342558,0.771467948654,0.120771001069,0.102681272675,191.908380903,0,0,52,0,2,private_intimacy
12,127,12,127,0.669302105205,0.732905314291,0.174265212565,0,0,0.653975967569,0.815874705901,0.103339881558,0.12184149908,462.404982292,0,0,67,0,2,private_intimacy
13,128,13,2,0.529573923929,0.774244303902,0.107726193193,0,0,0.454165048551,0.595247533799,0.108797530674,0.136968063023,144.570803819,0,0,39,0,2,leisure
14,129,13,2,0.681672350319,0.702355243641,0.387280522363,0,0,0.790829096115,0.767383835486,0.0503077343196,0.191705581298,238.293268056,0,0,63,0,2,leisure
15,130,15,2,0.511171751144,0.615609216623,0.367541762645,0,0,0.75758143823,0.729807443629,0.0297475042866,0.11385233664,544.795311111,0,0,76,4551.547,2,leisure
16,131,16,2,0.676768447419,0.734589318946,0.142068687893,0,0,0.527096942899,0.724181258242,0.0667440692439,0.143423045479,285.979459028,0,0,76,0,2,leisure
