actor,home,household,place,energy,water,sleep_pressure,fatigue,damage,leisure,social,deficit,desire,money,food,violations,failures,critical_seconds,phase,method
1,116,1,116,0.8,0.8,0.186432204723,0.1,0,0.7,0.7,0.188132363165,0.15,120,1,0,0,0,0,idle
2,117,1,117,0.8,0.8,0.224862231189,0.1,0,0.7,0.7,0.437775887525,0.15,120,1,0,0,0,0,idle
3,118,3,118,0.8,0.8,0.234379066317,0.1,0,0.7,0.7,0.272726003042,0.15,120,1,0,0,0,0,idle
4,119,3,119,0.8,0.8,0.160811841058,0.1,0,0.7,0.7,0.343978039204,0.15,120,1,0,0,0,0,idle
5,120,5,120,0.8,0.8,0.228308707314,0.1,0,0.7,0.7,0.396116231446,0.15,120,1,0,0,0,0,idle
6,121,5,121,0.8,0.8,0.203017098432,0.1,0,0.7,0.7,0.330735025301,0.15,120,1,0,0,0,0,idle
7,122,7,122,0.8,0.8,0.14398605774,0.1,0,0.7,0.7,0.459878980367,0.15,120,1,0,0,0,0,idle
8,123,7,123,0.8,0.8,0.112931143166,0.1,0,0.7,0.7,0.192086260894,0.15,120,1,0,0,0,0,idle
9,124,9,124,0.8,0.8,0.162345809593,0.1,0,0.7,0.7,0.160485940454,0.15,120,1,0,0,0,0,idle
10,125,9,125,0.8,0.8,0.132355274698,0.1,0,0.7,0.7,0.196605709956,0.15,120,1,0,0,0,0,idle
11,126,11,126,0.8,0.8,0.194813141281,0.1,0,0.7,0.7,0.383933731142,0.15,120,1,0,0,0,0,idle
12,127,12,127,0.8,0.8,0.236629928631,0.1,0,0.7,0.7,0.158250538091,0.15,120,1,0,0,0,0,idle
13,128,13,128,0.8,0.8,0.173610530443,0.1,0,0.7,0.7,0.487829662361,0.15,120,1,0,0,0,0,idle
14,129,13,129,0.8,0.8,0.228806348055,0.1,0,0.7,0.7,0.426364898997,0.15,120,1,0,0,0,0,idle
15,130,15,130,0.8,0.8,0.179655880859,0.1,0,0.7,0.7,0.471067116796,0.15,120,1,0,0,0,0,idle
16,131,16,131,0.8,0.8,0.157052485523,0.1,0,0.7,0.7,0.446191485856,0.15,120,1,0,0,0,0,idle
