actor,home,household,place,energy,water,sleep_pressure,fatigue,damage,leisure,social,deficit,desire,money,food,violations,failures,critical_seconds,phase,method
1,116,1,116,0.693938501141,0.435781894445,0.427638545348,0,0,0.766700229769,0.834225961733,0.0599453789485,0.0466867673011,499.1232375,0,0,10,0,4,sleep
2,117,1,2,0.439832040737,0.557144765567,0.312933403042,0,0,0.792639187049,0.848901155905,0.0503532069163,0.161006571735,427.869081597,0,0,43,0,0,idle
3,118,3,2,0.724150021516,0.725422085469,0.236844626625,0,0,0.759357071924,0.857475976771,0.256608137794,4.37381929467e-05,449.292248958,0,0,81,0,2,leisure
4,119,3,119,0.464257802805,0.687409257194,0.18459982716,0,0,0.604657243576,0.770551502491,0.102978129521,0.0924031053385,512.034221181,0,0,22,0,2,private_intimacy
5,120,5,120,0.579992124988,0.617446495428,0.321038462582,0,0,0.64843287665,0.83374829989,0.060501438442,0.047402413269,373.107018056,0,0,94,0,4,sleep
6,121,5,2,0.545190699013,0.64136424742,0.275369164043,0,0,0.788014589418,0.857309723757,0.0560965704329,0.0814557511922,408.694353819,0,0,24,0,2,leisure
7,122,7,2,0.66821711803,0.656503396913,0.300363306671,0,0,0.795006301892,0.844374989159,0.0368730958054,0.133520554706,341.761985764,0,0,42,0,2,leisure
8,123,7,123,0.729083380211,0.747310825391,0.326090087244,0,0,0.791098336517,0.826594388212,0.0580099441407,0.0625891490763,179.271401042,0,0,26,0,2,private_intimacy
9,124,9,2,0.471180621369,0.727623941022,0.229682551254,0,0,0.670489776436,0.742310662833,0.0385771482874,0.200003437528,266.596677083,0,0,51,0,2,leisure
10,125,9,125,0.632242121372,0.755773495927,0.361573262028,0,0,0.782221475804,0.761432620703,0.140732040674,0.0545694144876,224.148720139,0,0,57,0,4,sleep
11,126,11,2,0.555669147631,0.775424547106,0.370801748418,0,0,0.731448540528,0.737744581725,0.0484425636433,0.209548255616,175.412799653,0,0,52,0,2,leisure
12,127,12,127,0.3508930959,0.50795979156,0.147239013642,0,0,0.63516656998,0.696973751504,0.0631831010221,0.0440594298619,131.522844792,0,0,64,0,4,sleep
13,128,13,6,0.536817826393,0.685025289066,0.279889831947,0,0,0.653783182882,0.712171419418,0.0724467045436,0.0362529744346,406.553763889,0,0,138,0,2,leisure
14,129,13,129,0.717364962625,0.970744293926,0.38902500082,0,0,0.727519718434,0.705135359576,0.0508358915645,0.0265907130745,296.251505903,0,0,78,0,4,sleep
15,130,15,2,0.394059025393,0.7670608957,0.269080041855,1.49579506405e-05,0,0.708370499175,0.625000697139,0.0708524643393,0.120181310646,403.986117708,0,0,116,2030.211,1,acquire_food
16,131,16,2,0.528204760504,0.45112877487,0.67149054922,0,0,0.771706416752,0.912919167138,0.664075040918,0.441296374164,16.9465274306,0,0,393,0,2,leisure
