actor,home,household,place,energy,water,sleep_pressure,fatigue,damage,leisure,social,deficit,desire,money,food,violations,failures,critical_seconds,phase,method
1,116,1,116,0,0,1,0.0366398198974,1,0,0,0.648908378674,0.34226981812,229.528069444,1,0,1,61208,0,idle
2,117,1,2,0.515061386566,0.60193646403,0.495772644633,0,0,0,0,0.91592869698,0.479254648607,67.9873298611,0,0,21,0,0,idle
3,118,3,118,0.321253585104,0.397262081469,0.492414153254,0,0,0.123200989121,0,0.803062427586,0.495464680787,112.754524306,0,0,3,0,4,sleep
4,119,3,119,0.331106832286,0.410519414663,0.592078062543,0,0,0,0,0.887489816048,0.547716225863,36.6874895833,0,0,11,0,4,sleep
5,120,5,2,0.381788492238,0.267427095785,0.616838966776,0,0,0.000809457807571,0,0.763578436146,0.488716075323,57.3164270833,0,0,223,0,0,idle
6,121,5,2,0.352617606495,0.366796321206,0.658386183011,0,0,0,0,0.682209355062,0.453552372921,12.5880868056,0,0,160,0,0,idle
7,122,7,122,0,0,1,0.0327600458898,1,0,0,0.670867446602,0.445389852778,159.966763889,0,0,0,61043,0,idle
8,123,7,123,0.482933934345,0.336199508085,0.678373936273,0,0,0.247905497578,0,0.91076546519,0.517017062333,51.4868611111,0,0,398,0,4,sleep
9,124,9,124,0.45491367118,0.577587724257,0.707797973304,0,0,0,0,0.787228772008,0.482290955776,0,0,0,103,0,4,sleep
10,125,9,125,0.285730720855,0.284825492695,0.635472653251,0.0153537023997,0,0,0,0.925658095077,0.491045985594,57.7695034722,0,0,435,0,4,sleep
11,126,11,126,0,0,1,0,1,0,0,0.773216103526,0.457651802517,143.48346875,0,0,34,60541,0,idle
12,127,12,4,0.0514447700053,0.336490955454,0.721270725084,0,0.00362076958106,0,0,0.917189007407,0.501226233696,0,0,0,36,5828,2,idle
13,128,13,128,0,0,1,0,1,0,0,0.810841479557,0.49441274098,118.111826389,0,0,2,57422,0,idle
14,129,13,2,0.287691342725,0.343492136287,0.505065907393,0,0,0.371973332849,0,0.883051386874,0.455844251451,154.791163194,0,0,209,0,0,idle
15,130,15,2,0.234051886175,0.580406047005,0.405766114256,0.0182995260711,0,0.0363040145552,0,0.875442674378,0.535901397959,24.2307326389,0,0,1674,0,1,talk
16,131,16,2,0.305872877148,0.444593439284,0.149608550959,0.0119295497695,0,0.00171784152562,0,0.728695499268,0.444731390777,124.242986111,0,0,185,0,1,talk
