actor,home,household,place,energy,water,sleep_pressure,fatigue,damage,leisure,social,deficit,desire,money,food,violations,failures,critical_seconds,phase,method
1,116,1,116,0.282108308115,0.265327770902,0.40201757246,0,0,0,0,0.795062917284,0.423216764789,246.174277778,0,0,0,0,4,sleep
2,117,1,117,0,0,1,0.056989473004,1,0,0,0.580794429361,0.343584655446,185.916857639,0,0,1,63455,0,idle
3,118,3,118,0,0,1,0.0106237617601,1,0,0,0.457804102382,0.282725565982,138.180003472,1,0,0,62506,0,idle
4,119,3,2,0.331611476706,0.418457997464,0.640685366271,0,0,0,0,0.727014804651,0.441321406012,117.025420139,0,0,369,0,0,idle
5,120,5,1,0.624133863009,0.455464628688,0.205275639841,0.000395348970252,0,0.18832100972,0.0139697719363,0.721490660068,0.389691672766,70.8427361111,0,0,11,0,0,idle
6,121,5,2,0.544312404674,0.285257398263,0.361056516763,0,0,0.0796064770806,0,0.795654481809,0.431662219991,120.767895833,0,0,1253,0,0,idle
7,122,7,122,0.481011837961,0.319455575475,0.400681413625,0,0,0.0342041527651,0.444108557602,0.597791523768,0.315911103685,69.2181805556,0,0,491,0,4,sleep
8,123,7,123,0,0,1,0.058271693297,1,0,0,0.611510341822,0.39429119896,142.204079861,1,0,302,57539,0,idle
9,124,9,2,0.293384859204,0.269779294003,0.63264189823,0,0,0,0,0.874293459641,0.450302232701,62.68209375,0,0,20,0,0,idle
10,125,9,2,0.304058383418,0.352884208705,0.468778156935,0,0,0,0,0.905672591193,0.513014365704,39.9740868056,0,0,644,0,0,idle
11,126,11,126,0,0,1,0.0332926159377,1,0,0,0.43211079912,0.315070531076,155.981041667,1,0,0,62618.516,0,idle
12,127,12,2,0.428948861122,0.259479049971,0.57921772692,0,0,0,0,0.778547534795,0.418105401123,32.3058125,0,0,0,0,0,idle
13,128,13,128,0,0,1,0.0816645661029,1,0,0,0.562339494914,0.307107572427,177.109125,0,0,53,59119,0,idle
14,129,13,129,0,0,1,0.0592638363015,1,0,0,0.619103841646,0.379030077484,242.441184028,0,0,713,57240,0,idle
15,130,15,130,0,0,1,0,1,0,0,0.782058426465,0.40288585057,83.8635902778,0,0,1,69852.793,0,idle
16,131,16,131,0.533261053039,0.421868423235,0.67435495366,0,0,0,0,0.839492666645,0.442417139318,14.4672013889,0,0,594,0,4,sleep
