actor,home,household,place,energy,water,sleep_pressure,fatigue,damage,leisure,social,deficit,desire,money,food,violations,failures,critical_seconds,phase,method
1,116,1,6,0.488218181928,0.479258593967,0.417924240883,0.0370491237746,0,0,0.0676771116242,0.795062917284,0.420579506694,479.288881944,0,0,349,0,1,talk
2,117,1,2,0.46540076256,0.33758177142,0.49279709282,0,0,0.621994900249,0.635372768357,0.146696292609,0.0703137498574,98.8915833333,0,0,214,0,0,idle
3,118,3,2,0.267452935722,0.46548358508,0.370108298847,0,0,0,0.136718216387,0.891347025221,0.492490060294,45.1869826389,0,0,0,0,0,idle
4,119,3,119,0.319609637379,0.391859784656,0.386866806357,0,0,0.370248297236,0.294723838654,0.727014804651,0.441954643366,99.4844375,0,0,445,0,4,sleep
5,120,5,120,0.403123951775,0.710374939413,0.610444719917,0,0,0.0730907079916,0.265980935308,0.721490660068,0.389723269763,76.5275659722,0,0,32,0,4,sleep
6,121,5,2,0.227254090685,0.255919752323,0.44145594662,0.00155369993938,0,0,0,0.795654481809,0.432560638786,40.3016145833,0,0,9,3272.125,1,acquire_food
7,122,7,122,0.546268761859,0.455748872049,0.557147298522,0,0,0.298888892465,0.639256321996,0.302534535204,0.158652585321,90.4784722222,0,0,86,0,4,sleep
8,123,7,2,0.442364399907,0.577975980575,0.374953228901,0,0,0.170183077431,0.429647418741,0.866854957429,0.522118127533,56.0415486111,0,0,91,0,2,leisure
9,124,9,2,0.293752290442,0.270876601041,0.624863913445,0,0,0,0,0.678573941213,0.366112080909,61.1398020833,0,0,75,0,0,idle
10,125,9,125,0.400996447899,0.283370881297,0.346011632242,0,0,0,0,0.905672591193,0.512977950011,0,0,0,187,0,4,sleep
11,126,11,126,0.401963078335,0.326990184427,0.585194845219,0,0,0,0,0.796881649662,0.481597590043,56.9308576389,0,0,124,0,4,sleep
12,127,12,127,0.392290681224,0.699472514452,0.687077315186,0,0,0,0,0.778547534795,0.417376798085,15.0964756944,0,0,132,0,4,sleep
13,128,13,128,0.245666388911,0.288134465474,0.319432190336,0,0,0,0,0.806853235595,0.423095647106,171.252975694,0,0,547,0,4,sleep
14,129,13,2,0.455474139633,0.399960037151,0.560273686263,0.0108743761986,0,0,0,0.735196568023,0.4347991745,114.520600694,0,0,1779,0,1,talk
15,130,15,2,0.403803908998,0.307769929954,0.695435673835,0,0,0,0,0.923454346368,0.466520245839,55.2428541667,0,0,1,0,0,idle
16,131,16,131,0.269338125914,0.337995286513,0.678833974411,0.0622259865341,0,0,0,0.839492666645,0.43791142425,18.7406666667,0,0,2036,0,4,sleep
