actor,home,household,place,energy,water,sleep_pressure,fatigue,damage,leisure,social,deficit,desire,money,food,violations,failures,critical_seconds,phase,method
1,116,1,2,0.478988759828,0.307637676742,0.683045504745,0,0,0.232727257088,0.200015524079,0.34452594794,0.232570367358,543.813291667,0,0,782,0,0,idle
2,117,1,2,0.46910571666,0.365754372479,0.68044077727,0,0,0,0,0.52391102115,0.308146054354,42.9681666667,0,0,1,0,0,idle
3,118,3,118,0.34132174114,0.275158275056,0.504664555644,0,0,0,0,0.908684216887,0.470537086832,70.9234722222,0,0,2075,0,4,sleep
4,119,3,119,0.173364019009,0.285903993345,0.43189737058,0,0,0,0,0.696319089254,0.390276375268,0,0,0,122,0,0,idle
5,120,5,2,0.4859845501,0.448185504343,0.476535828981,0,0,0.0819572570748,0,0.782488440299,0.442072754294,74.4945138889,0,0,465,0,2,leisure
6,121,5,121,0.352454154865,0.317135934565,0.37167226024,0,0,0.0392550163387,0,0.811064962613,0.424327251195,111.25409375,0,0,1050,0,4,sleep
7,122,7,2,0.317380151276,0.367620821101,0.260454648759,0,0,0.162081320464,0,0.371548291121,0.30176864553,116.966788194,0,0,200,0,0,idle
8,123,7,123,0.444318843539,0.364821743266,0.44492300529,0,0,0,0,0.876754117418,0.514815805651,49.7779965278,0,0,44,0,4,sleep
9,124,9,124,0.338739689741,0.416275066429,0.523857912631,0,0,0,0,0.742316545956,0.48332151438,90.5849027778,0,0,401,0,4,sleep
10,125,9,125,0.373182854777,0.255388430379,0.633257706728,0,0,0,0,0.857190182332,0.442707752574,23.3767708333,0,0,4,0,4,sleep
11,126,11,2,0.255241560722,0.637947705753,0.503848747115,0,0,0,0,0.804651897398,0.455296910767,32.3658333333,0,0,14,0,0,idle
12,127,12,127,0.272345336065,0.364891250654,0.425285303948,0,0,0,0,0.428065837875,0.246379884674,44.7785347222,0,0,345,0,4,sleep
13,128,13,2,0.239556670577,0.493227976357,0.462443300004,0,0,0,0,0.418607802838,0.249232000638,63.50678125,0,0,95,0,0,idle
14,129,13,2,0.336553540909,0.514820185185,0.654232690934,0,0,0.0808792454521,0,0.789892811041,0.410938717779,74.5205069444,0,0,403,0,2,leisure
15,130,15,2,0.510952023732,0.669157958541,0.656113983119,0,0,0,0,0.911589077324,0.555184419797,0,0,0,50,2969.465,0,idle
16,131,16,2,0.506580105296,0.467915069932,0.348128979169,0.0514757077089,0,0,0,0.918263051702,0.552889821041,108.449940972,0,0,2095,0,1,talk
